hours_used,hours_used,hours_used_diff,ws_diff
post,pre,,
17.73205128205111,18.746296296296112,-1.0142450142450024,-1.0
11.65705128205111,10.7375,0.9195512820511098,-4.0
13.455555555555556,11.425,2.030555555555555,-11.0
19.1173076923075,19.122,-0.004692307692501174,-3.0
8.531666666666666,9.258333333333333,-0.7266666666666666,-5.0
9.883333333333333,7.233333333333333,2.6499999999999995,-32.0
9.2882352941175,13.607142857142778,-4.318907563025277,34.0
11.46,12.283333333333333,-0.8233333333333324,9.0
15.706,11.966666666666667,3.7393333333333327,-24.0
18.56,14.025333333333334,4.534666666666665,-24.0
13.595512820512777,14.2,-0.6044871794872222,24.0
13.245238095238056,13.001851851851667,0.24338624338638937,11.0
13.178787878787778,13.45,-0.27121212121222094,-24.0
13.6625,13.841333333333333,-0.1788333333333334,2.0
