diff_t1k_minc,diff_t1k_minc_bin,ws_diff,ws_diff_bin,steps_diff
14648.19921875,"[6954, inf)",-50.0,"(-80, -48]",-50.451923076923784
29734.85546875,"[6954, inf)",-50.0,"(-80, -48]",-1697.8000000000004
-28049.234375,"[-inf, -6250)",-49.0,"(-80, -48]",-2588.190476190476
-22307.328125,"[-inf, -6250)",-49.0,"(-80, -48]",-4797.9196427575325
-22307.328125,"[-inf, -6250)",-49.0,"(-80, -48]",-47.060386473429396
-17831.51953125,"[-inf, -6250)",-49.0,"(-80, -48]",-6856.28
-12820.40234375,"[-inf, -6250)",-49.0,"(-80, -48]",-1826.7738095238094
-12820.40234375,"[-inf, -6250)",-49.0,"(-80, -48]",-791.5694444444442
-11807.1640625,"[-inf, -6250)",-49.0,"(-80, -48]",-5430.416666666667
-10806.09765625,"[-inf, -6250)",-49.0,"(-80, -48]",168.86544680512546
-9798.55078125,"[-inf, -6250)",-49.0,"(-80, -48]",-7366.9708441689445
-9798.55078125,"[-inf, -6250)",-49.0,"(-80, -48]",-1542.814016789095
-9697.6953125,"[-inf, -6250)",-49.0,"(-80, -48]",-585.8729096989969
-8153.296875,"[-inf, -6250)",-49.0,"(-80, -48]",-18.391304347826008
1952.05859375,"[-6250, 6954)",-49.0,"(-80, -48]",-664.8076923076924
11691.72265625,"[6954, inf)",-49.0,"(-80, -48]",-2826.3397806501366
12539.26953125,"[6954, inf)",-49.0,"(-80, -48]",-4217.317506256585
22966.28125,"[6954, inf)",-49.0,"(-80, -48]",-1487.2539682539689
-34675.62890625,"[-inf, -6250)",-48.0,"(-80, -48]",-5833.179842987121
-25869.6171875,"[-inf, -6250)",-48.0,"(-80, -48]",-754.0533333333333
-23663.58984375,"[-inf, -6250)",-48.0,"(-80, -48]",430.23149315742586
-20707.76171875,"[-inf, -6250)",-48.0,"(-80, -48]",-4549.76238459012
-19777.94140625,"[-inf, -6250)",-48.0,"(-80, -48]",850.3476923076922
-16226.37109375,"[-inf, -6250)",-48.0,"(-80, -48]",528.0333333333328
-16226.37109375,"[-inf, -6250)",-48.0,"(-80, -48]",-862.1111111111113
-16226.37109375,"[-inf, -6250)",-48.0,"(-80, -48]",-11211.615384615383
-12820.40234375,"[-inf, -6250)",-48.0,"(-80, -48]",1690.6428571428567
-12508.0625,"[-inf, -6250)",-48.0,"(-80, -48]",819.0905263157903
-6911.0546875,"[-inf, -6250)",-48.0,"(-80, -48]",-1358.6898395721919
-6846.8203125,"[-inf, -6250)",-48.0,"(-80, -48]",-2819.491428571429
-2542.47265625,"[-6250, 6954)",-48.0,"(-80, -48]",-5837.0
960.0546875,"[-6250, 6954)",-48.0,"(-80, -48]",-627.0566321477772
1802.0390625,"[-6250, 6954)",-48.0,"(-80, -48]",-878.7215909090901
7176.65625,"[6954, inf)",-48.0,"(-80, -48]",-247.4285714285716
11734.5078125,"[6954, inf)",-48.0,"(-80, -48]",2134.1515151515155
13315.05859375,"[6954, inf)",-48.0,"(-80, -48]",-1288.59
13315.05859375,"[6954, inf)",-48.0,"(-80, -48]",-1875.3266666666668
13315.05859375,"[6954, inf)",-48.0,"(-80, -48]",-1462.897233201581
19110.7265625,"[6954, inf)",-48.0,"(-80, -48]",-2905.386395808172
20378.28125,"[6954, inf)",-48.0,"(-80, -48]",701.1262626262624
-20901.6015625,"[-inf, -6250)",-47.0,"(-48, -16]",-538.0
-20681.53515625,"[-inf, -6250)",-47.0,"(-48, -16]",-697.4436090225572
-15422.703125,"[-inf, -6250)",-47.0,"(-48, -16]",5963.416666666668
-15422.703125,"[-inf, -6250)",-47.0,"(-48, -16]",518.0119047619046
-15422.703125,"[-inf, -6250)",-47.0,"(-48, -16]",-2961.289548821853
-9360.03515625,"[-inf, -6250)",-47.0,"(-48, -16]",1656.0625
-2139.7265625,"[-6250, 6954)",-47.0,"(-48, -16]",813.2348879981923
-1239.58984375,"[-6250, 6954)",-47.0,"(-48, -16]",348.77228545699967
1163.97265625,"[-6250, 6954)",-47.0,"(-48, -16]",1919.5944055944053
4342.16015625,"[-6250, 6954)",-47.0,"(-48, -16]",-4811.426153846154
5539.1640625,"[-6250, 6954)",-47.0,"(-48, -16]",1305.1640662450286
5542.56640625,"[-6250, 6954)",-47.0,"(-48, -16]",-153.2323076923076
8299.0625,"[6954, inf)",-47.0,"(-48, -16]",-1746.5171500902622
12145.0078125,"[6954, inf)",-47.0,"(-48, -16]",-347.37272727272733
15522.61328125,"[6954, inf)",-47.0,"(-48, -16]",-3626.9448140765776
19868.02734375,"[6954, inf)",-47.0,"(-48, -16]",-2665.428571428572
-33459.53515625,"[-inf, -6250)",-46.0,"(-48, -16]",-4353.5
-15425.296875,"[-inf, -6250)",-46.0,"(-48, -16]",95.81502302121409
-14883.8203125,"[-inf, -6250)",-46.0,"(-48, -16]",-5290.181818181818
-14883.8203125,"[-inf, -6250)",-46.0,"(-48, -16]",-974.3131313131323
-14883.8203125,"[-inf, -6250)",-46.0,"(-48, -16]",-973.787878787878
-14194.01953125,"[-inf, -6250)",-46.0,"(-48, -16]",-4215.6564137270225
-14194.01953125,"[-inf, -6250)",-46.0,"(-48, -16]",-3337.560606060607
-13565.796875,"[-inf, -6250)",-46.0,"(-48, -16]",1575.9411161449625
-13565.796875,"[-inf, -6250)",-46.0,"(-48, -16]",-682.352727272727
-13565.796875,"[-inf, -6250)",-46.0,"(-48, -16]",444.65909090909105
-13476.828125,"[-inf, -6250)",-46.0,"(-48, -16]",-4840.357142857143
-7024.640625,"[-inf, -6250)",-46.0,"(-48, -16]",2658.785714285715
-6933.46875,"[-inf, -6250)",-46.0,"(-48, -16]",-1564.9916687068746
-2491.28125,"[-6250, 6954)",-46.0,"(-48, -16]",-4647.423245614035
-866.20703125,"[-6250, 6954)",-46.0,"(-48, -16]",4908.970989893949
1540.16015625,"[-6250, 6954)",-46.0,"(-48, -16]",1806.674242424242
1540.16015625,"[-6250, 6954)",-46.0,"(-48, -16]",12.149999999999634
1540.16015625,"[-6250, 6954)",-46.0,"(-48, -16]",2780.81221719457
2726.0390625,"[-6250, 6954)",-46.0,"(-48, -16]",-972.3617801338287
7654.3203125,"[6954, inf)",-46.0,"(-48, -16]",-1280.7777777777776
8584.8125,"[6954, inf)",-46.0,"(-48, -16]",-399.52313646439967
9493.52734375,"[6954, inf)",-46.0,"(-48, -16]",-2082.636363636364
13939.48828125,"[6954, inf)",-46.0,"(-48, -16]",-3142.297950101698
21985.98046875,"[6954, inf)",-46.0,"(-48, -16]",-4254.322022099513
30839.20703125,"[6954, inf)",-46.0,"(-48, -16]",449.40000000000015
-32255.6171875,"[-inf, -6250)",-45.0,"(-48, -16]",468.23666666666674
-24025.07421875,"[-inf, -6250)",-45.0,"(-48, -16]",-341.625
-16423.98046875,"[-inf, -6250)",-45.0,"(-48, -16]",-3153.1309523809527
-14786.6796875,"[-inf, -6250)",-45.0,"(-48, -16]",-3494.8845703119987
-14786.6796875,"[-inf, -6250)",-45.0,"(-48, -16]",824.0826121315476
-14261.32421875,"[-inf, -6250)",-45.0,"(-48, -16]",436.67261904761926
-9882.73046875,"[-inf, -6250)",-45.0,"(-48, -16]",2632.385396248147
-9882.73046875,"[-inf, -6250)",-45.0,"(-48, -16]",-966.5
-7204.97265625,"[-inf, -6250)",-45.0,"(-48, -16]",1117.8421052631577
-3621.0859375,"[-6250, 6954)",-45.0,"(-48, -16]",3219.5
-2114.37109375,"[-6250, 6954)",-45.0,"(-48, -16]",2042.4736842105267
938.8203125,"[-6250, 6954)",-45.0,"(-48, -16]",140.76282051282126
3160.8359375,"[-6250, 6954)",-45.0,"(-48, -16]",-2702.412173913044
3160.8359375,"[-6250, 6954)",-45.0,"(-48, -16]",-426.5
9675.80078125,"[6954, inf)",-45.0,"(-48, -16]",-518.7120105013228
11717.46875,"[6954, inf)",-45.0,"(-48, -16]",-2781.239901888333
11747.1015625,"[6954, inf)",-45.0,"(-48, -16]",3223.3160173160168
12250.765625,"[6954, inf)",-45.0,"(-48, -16]",1059.4375
16508.16015625,"[6954, inf)",-45.0,"(-48, -16]",1.4642857142853245
18993.984375,"[6954, inf)",-45.0,"(-48, -16]",-5948.41304347826
-31485.390625,"[-inf, -6250)",-44.0,"(-48, -16]",1888.2796074423925
-28310.66796875,"[-inf, -6250)",-44.0,"(-48, -16]",1816.9449415988465
-28310.66796875,"[-inf, -6250)",-44.0,"(-48, -16]",-4849.40819607581
-28310.66796875,"[-inf, -6250)",-44.0,"(-48, -16]",-2643.206973560589
-26997.0703125,"[-inf, -6250)",-44.0,"(-48, -16]",4833.738190530568
-25244.96484375,"[-inf, -6250)",-44.0,"(-48, -16]",1118.7222222222224
-19407.6171875,"[-inf, -6250)",-44.0,"(-48, -16]",-226.3716666666669
-19289.1015625,"[-inf, -6250)",-44.0,"(-48, -16]",1486.208333333333
-19289.1015625,"[-inf, -6250)",-44.0,"(-48, -16]",-1705.1374999999996
-19289.1015625,"[-inf, -6250)",-44.0,"(-48, -16]",-1552.9333333333334
-18653.4296875,"[-inf, -6250)",-44.0,"(-48, -16]",-1305.212820512821
-17924.9453125,"[-inf, -6250)",-44.0,"(-48, -16]",420.5
-15109.63671875,"[-inf, -6250)",-44.0,"(-48, -16]",2823.175
-6403.55859375,"[-inf, -6250)",-44.0,"(-48, -16]",-531.4119873029003
-6403.55859375,"[-inf, -6250)",-44.0,"(-48, -16]",-2915.015000000001
-5016.7890625,"[-6250, 6954)",-44.0,"(-48, -16]",-841.0630473060005
-4531.125,"[-6250, 6954)",-44.0,"(-48, -16]",1887.6666666666665
-3334.3828125,"[-6250, 6954)",-44.0,"(-48, -16]",501.58636363636384
-3221.1015625,"[-6250, 6954)",-44.0,"(-48, -16]",3303.537595647981
2483.9765625,"[-6250, 6954)",-44.0,"(-48, -16]",-490.6757894736843
4307.046875,"[-6250, 6954)",-44.0,"(-48, -16]",1349.04
4379.875,"[-6250, 6954)",-44.0,"(-48, -16]",-3770.482517482518
6723.44921875,"[-6250, 6954)",-44.0,"(-48, -16]",617.5
9736.65625,"[6954, inf)",-44.0,"(-48, -16]",-461.375
11237.52734375,"[6954, inf)",-44.0,"(-48, -16]",2433.112307692308
14069.03515625,"[6954, inf)",-44.0,"(-48, -16]",-1322.246796508056
17135.34375,"[6954, inf)",-44.0,"(-48, -16]",-4585.4
30613.3984375,"[6954, inf)",-44.0,"(-48, -16]",1778.1428571428567
56919.76953125,"[6954, inf)",-44.0,"(-48, -16]",-176.5034965034965
,,-44.0,"(-48, -16]",-1513.0343137254904
-23523.875,"[-inf, -6250)",-43.0,"(-48, -16]",-3053.48
-22033.83203125,"[-inf, -6250)",-43.0,"(-48, -16]",984.3273809523816
-5698.11328125,"[-6250, 6954)",-43.0,"(-48, -16]",-1542.3571428571433
-2942.0625,"[-6250, 6954)",-43.0,"(-48, -16]",1091.0516575615493
-2277.6953125,"[-6250, 6954)",-43.0,"(-48, -16]",4266.466403162056
907.5,"[-6250, 6954)",-43.0,"(-48, -16]",3995.8797857780382
1377.39453125,"[-6250, 6954)",-43.0,"(-48, -16]",-511.95111111111146
2314.140625,"[-6250, 6954)",-43.0,"(-48, -16]",-326.2179487179492
2314.140625,"[-6250, 6954)",-43.0,"(-48, -16]",2265.0714285714284
8625.6484375,"[6954, inf)",-43.0,"(-48, -16]",-594.6421767415868
8657.44140625,"[6954, inf)",-43.0,"(-48, -16]",878.0927415185861
8724.28125,"[6954, inf)",-43.0,"(-48, -16]",2092.116929869293
8724.28125,"[6954, inf)",-43.0,"(-48, -16]",-2155.474578415859
11724.046875,"[6954, inf)",-43.0,"(-48, -16]",2508.190476190476
11836.48046875,"[6954, inf)",-43.0,"(-48, -16]",-416.1338461538453
15425.296875,"[6954, inf)",-43.0,"(-48, -16]",-3147.0489510489515
15909.58203125,"[6954, inf)",-43.0,"(-48, -16]",-1099.4035087719303
24315.31640625,"[6954, inf)",-43.0,"(-48, -16]",744.9107142857147
38515.8203125,"[6954, inf)",-43.0,"(-48, -16]",-805.7238095238098
67580.37890625,"[6954, inf)",-43.0,"(-48, -16]",-3830.308537945713
,,-43.0,"(-48, -16]",-1785.2694194907392
-33659.4765625,"[-inf, -6250)",-42.0,"(-48, -16]",-3668.4292307692303
-25264.828125,"[-inf, -6250)",-42.0,"(-48, -16]",-2826.636363636364
