steps_diff,ws_diff,ws_diff_bin
557.8342857142852,-15.0,"(-16, 16]"
425.1571428571433,-15.0,"(-16, 16]"
-1056.6681840306344,-15.0,"(-16, 16]"
1236.636363636364,-15.0,"(-16, 16]"
-444.5,-15.0,"(-16, 16]"
-730.0669856459335,-15.0,"(-16, 16]"
1410.98857142857,-15.0,"(-16, 16]"
-983.9789123543646,-15.0,"(-16, 16]"
-806.8557692307692,-15.0,"(-16, 16]"
5444.627450980392,-15.0,"(-16, 16]"
-1082.5128663572013,-15.0,"(-16, 16]"
1565.4340782339655,-15.0,"(-16, 16]"
-2438.932971014493,-15.0,"(-16, 16]"
-2002.3803413037624,-15.0,"(-16, 16]"
-9599.927272727271,-15.0,"(-16, 16]"
-1022.3014492753628,-15.0,"(-16, 16]"
-3273.3108974358965,-15.0,"(-16, 16]"
-2080.414136190677,-15.0,"(-16, 16]"
1726.4342105263156,-15.0,"(-16, 16]"
-2492.850000000001,-15.0,"(-16, 16]"
801.7335327148007,-15.0,"(-16, 16]"
587.9786592382358,-15.0,"(-16, 16]"
-281.677865612648,-15.0,"(-16, 16]"
2494.2142857142867,-15.0,"(-16, 16]"
-7374.3600000000015,-15.0,"(-16, 16]"
-2643.618461538461,-15.0,"(-16, 16]"
-1673.3333333333335,-15.0,"(-16, 16]"
-4019.1449275362324,-15.0,"(-16, 16]"
-374.78507314016406,-15.0,"(-16, 16]"
579.6355975391381,-15.0,"(-16, 16]"
401.54019927464986,-15.0,"(-16, 16]"
2092.8888888888887,-15.0,"(-16, 16]"
2203.1482653364446,-15.0,"(-16, 16]"
-1137.0000000000011,-15.0,"(-16, 16]"
-1824.5362318840573,-15.0,"(-16, 16]"
-3625.4107692307703,-15.0,"(-16, 16]"
1199.4285714285716,-15.0,"(-16, 16]"
1621.9402324797268,-15.0,"(-16, 16]"
1951.323174859922,-15.0,"(-16, 16]"
-69.3293138778572,-15.0,"(-16, 16]"
264.4166666666661,-15.0,"(-16, 16]"
3924.086888261157,-15.0,"(-16, 16]"
2879.214285714286,-14.0,"(-16, 16]"
-97.15476190476193,-14.0,"(-16, 16]"
1579.290760869565,-14.0,"(-16, 16]"
703.7142857142858,-14.0,"(-16, 16]"
-2761.12,-14.0,"(-16, 16]"
1987.053571428572,-14.0,"(-16, 16]"
2234.7179487179487,-14.0,"(-16, 16]"
1890.6761133603231,-14.0,"(-16, 16]"
-319.6666666666665,-14.0,"(-16, 16]"
-592.9940049922029,-14.0,"(-16, 16]"
6743.55135019185,-14.0,"(-16, 16]"
-2971.666666666667,-14.0,"(-16, 16]"
1157.1100296013722,-14.0,"(-16, 16]"
1122.7473763203452,-14.0,"(-16, 16]"
-1625.8058308544314,-14.0,"(-16, 16]"
3416.8,-14.0,"(-16, 16]"
-844.0495238095236,-14.0,"(-16, 16]"
198.48974358974374,-14.0,"(-16, 16]"
477.9914529914531,-14.0,"(-16, 16]"
924.9615384615379,-14.0,"(-16, 16]"
-478.7660904261811,-14.0,"(-16, 16]"
-3770.200118259,-14.0,"(-16, 16]"
1621.5619047619045,-14.0,"(-16, 16]"
-3136.850980392157,-14.0,"(-16, 16]"
-1379.3153846153846,-14.0,"(-16, 16]"
-281.318181818182,-14.0,"(-16, 16]"
2769.026666666666,-14.0,"(-16, 16]"
-448.4448160535121,-14.0,"(-16, 16]"
-1663.7005765761032,-14.0,"(-16, 16]"
369.0500000000001,-14.0,"(-16, 16]"
-792.0,-13.0,"(-16, 16]"
-1975.7538461538445,-13.0,"(-16, 16]"
-3845.4577777777777,-13.0,"(-16, 16]"
706.3466666666671,-13.0,"(-16, 16]"
-1398.2692307692307,-13.0,"(-16, 16]"
-1295.92,-13.0,"(-16, 16]"
2124.7815727960237,-13.0,"(-16, 16]"
-4786.759999999998,-13.0,"(-16, 16]"
-2564.05,-13.0,"(-16, 16]"
-3932.6923076923076,-13.0,"(-16, 16]"
2467.0501098629998,-13.0,"(-16, 16]"
7638.5,-13.0,"(-16, 16]"
4693.6648351648355,-13.0,"(-16, 16]"
951.9591041773807,-13.0,"(-16, 16]"
1414.9580224097015,-13.0,"(-16, 16]"
983.0,-13.0,"(-16, 16]"
498.2893772893772,-13.0,"(-16, 16]"
-879.2912280701753,-13.0,"(-16, 16]"
2523.7393124227897,-13.0,"(-16, 16]"
-773.5705626037249,-13.0,"(-16, 16]"
8.880952380952293,-13.0,"(-16, 16]"
3021.353254045715,-13.0,"(-16, 16]"
6423.722222222222,-13.0,"(-16, 16]"
3832.064686153603,-13.0,"(-16, 16]"
579.0,-13.0,"(-16, 16]"
-2090.333333333333,-13.0,"(-16, 16]"
-3409.038461538462,-13.0,"(-16, 16]"
5140.346153846154,-13.0,"(-16, 16]"
6419.15,-13.0,"(-16, 16]"
-514.7777777777778,-13.0,"(-16, 16]"
1622.8803418803418,-13.0,"(-16, 16]"
883.4602503725259,-13.0,"(-16, 16]"
4039.284615384615,-13.0,"(-16, 16]"
-3174.75,-13.0,"(-16, 16]"
1930.2307692307693,-13.0,"(-16, 16]"
368.36521739130416,-13.0,"(-16, 16]"
173.7097902097903,-13.0,"(-16, 16]"
-3532.223602484473,-13.0,"(-16, 16]"
2929.873333333333,-13.0,"(-16, 16]"
