ws_diff,ws_diff_bin,steps_diff
-46.0,"(-48, -16]",1746.863247863248
-46.0,"(-48, -16]",-4840.357142857143
-46.0,"(-48, -16]",-2082.636363636364
-46.0,"(-48, -16]",-4215.6564137270225
-46.0,"(-48, -16]",12.149999999999634
-46.0,"(-48, -16]",-4254.322022099513
-46.0,"(-48, -16]",449.40000000000015
-45.0,"(-48, -16]",-3153.1309523809527
-45.0,"(-48, -16]",436.67261904761926
-45.0,"(-48, -16]",140.76282051282126
-45.0,"(-48, -16]",2042.4736842105267
-45.0,"(-48, -16]",-426.5
-45.0,"(-48, -16]",-966.5
-45.0,"(-48, -16]",-341.625
-45.0,"(-48, -16]",468.23666666666674
-45.0,"(-48, -16]",3219.5
-45.0,"(-48, -16]",-5948.41304347826
-45.0,"(-48, -16]",-2781.239901888333
-45.0,"(-48, -16]",-1119.046153846154
-45.0,"(-48, -16]",2632.385396248147
-45.0,"(-48, -16]",824.0826121315476
-45.0,"(-48, -16]",1059.4375
-45.0,"(-48, -16]",3223.3160173160168
-45.0,"(-48, -16]",1.4642857142853245
-45.0,"(-48, -16]",-2702.412173913044
-45.0,"(-48, -16]",-518.7120105013228
-45.0,"(-48, -16]",-3494.8845703119987
-45.0,"(-48, -16]",1117.8421052631577
-44.0,"(-48, -16]",-4585.4
-44.0,"(-48, -16]",1778.1428571428567
-44.0,"(-48, -16]",-1305.212820512821
-44.0,"(-48, -16]",2433.112307692308
-44.0,"(-48, -16]",-1513.0343137254904
-44.0,"(-48, -16]",420.5
-44.0,"(-48, -16]",1486.208333333333
-44.0,"(-48, -16]",-490.6757894736843
-44.0,"(-48, -16]",2823.175
-44.0,"(-48, -16]",-461.375
-44.0,"(-48, -16]",1816.9449415988465
-44.0,"(-48, -16]",-1322.246796508056
-44.0,"(-48, -16]",501.58636363636384
-44.0,"(-48, -16]",-2643.206973560589
-44.0,"(-48, -16]",617.5
-44.0,"(-48, -16]",-4849.40819607581
-44.0,"(-48, -16]",4833.738190530568
-44.0,"(-48, -16]",-226.3716666666669
-44.0,"(-48, -16]",1118.7222222222224
-44.0,"(-48, -16]",-1705.1374999999996
