steps_diff,ws_diff,ws_diff_bin,Move Season
3094.5600000000004,-42.0,"(-48, -16]",Fall
-1089.2415384615397,-41.0,"(-48, -16]",Winter
-434.72727272727246,-41.0,"(-48, -16]",Fall
1117.1071765507434,-41.0,"(-48, -16]",Spring
2412.653985507246,-41.0,"(-48, -16]",Fall
-2097.817318427884,-41.0,"(-48, -16]",Spring
-1785.5358438230694,-41.0,"(-48, -16]",Fall
561.590909090909,-41.0,"(-48, -16]",Winter
-2370.1363636363635,-41.0,"(-48, -16]",Winter
-3711.993657565601,-41.0,"(-48, -16]",Winter
2013.9023391735,-41.0,"(-48, -16]",Spring
-1421.0261427734345,-41.0,"(-48, -16]",Fall
-2939.315293182175,-41.0,"(-48, -16]",Spring
24.88963210702423,-41.0,"(-48, -16]",Winter
1918.1462361382276,-41.0,"(-48, -16]",Spring
503.62745098039164,-41.0,"(-48, -16]",Winter
-246.55681818181802,-41.0,"(-48, -16]",Fall
1995.7777777777771,-41.0,"(-48, -16]",Winter
-1378.79,-41.0,"(-48, -16]",Spring
-1825.4,-41.0,"(-48, -16]",Fall
2929.479166666666,-41.0,"(-48, -16]",Fall
794.090909090909,-41.0,"(-48, -16]",Summer
-958.7666666666668,-41.0,"(-48, -16]",Winter
-1575.5387115470835,-41.0,"(-48, -16]",Fall
930.5369230769228,-41.0,"(-48, -16]",Summer
-549.9898989898988,-41.0,"(-48, -16]",Fall
991.7357859531777,-41.0,"(-48, -16]",Fall
-9488.583333333332,-41.0,"(-48, -16]",Spring
147.67999999999938,-41.0,"(-48, -16]",Summer
2840.08923076923,-41.0,"(-48, -16]",Winter
523.353260869565,-41.0,"(-48, -16]",Fall
-159.95192307692287,-41.0,"(-48, -16]",Fall
3388.9192397196807,-41.0,"(-48, -16]",Winter
-3425.2628205128212,-41.0,"(-48, -16]",Summer
-1514.811594202898,-41.0,"(-48, -16]",Fall
-1445.514854955096,-41.0,"(-48, -16]",Fall
39.74561403508778,-41.0,"(-48, -16]",Winter
-783.5,-40.0,"(-48, -16]",Summer
-2068.4871794871788,-40.0,"(-48, -16]",Fall
856.2756959859398,-40.0,"(-48, -16]",Spring
-658.1904761904769,-40.0,"(-48, -16]",Spring
-3261.6822701361884,-40.0,"(-48, -16]",Spring
377.04545883933366,-40.0,"(-48, -16]",Winter
428.4261538461542,-40.0,"(-48, -16]",Summer
731.8661383138177,-40.0,"(-48, -16]",Winter
296.3397435897432,-40.0,"(-48, -16]",Spring
-2692.090909090909,-40.0,"(-48, -16]",Spring
87.25333333333309,-40.0,"(-48, -16]",Winter
-686.9047619047619,-40.0,"(-48, -16]",Fall
-5017.4358974358975,-40.0,"(-48, -16]",Summer
-620.5020169075124,-40.0,"(-48, -16]",Winter
535.4848484848485,-40.0,"(-48, -16]",Spring
867.7692307692305,-40.0,"(-48, -16]",Fall
-1228.0,-40.0,"(-48, -16]",Fall
-593.5826086956522,-40.0,"(-48, -16]",Fall
-600.7580205740907,-40.0,"(-48, -16]",Winter
3008.4411764705883,-40.0,"(-48, -16]",Spring
-500.6020491571094,-40.0,"(-48, -16]",Summer
-883.7738571170457,-40.0,"(-48, -16]",Spring
-274.38678817826667,-40.0,"(-48, -16]",Spring
-2214.722222222222,-40.0,"(-48, -16]",Summer
855.375,-40.0,"(-48, -16]",Fall
-1624.0323076923078,-40.0,"(-48, -16]",Fall
841.7733333333334,-40.0,"(-48, -16]",Summer
2118.5714285714284,-40.0,"(-48, -16]",Fall
2148.2914487151584,-40.0,"(-48, -16]",Summer
-1142.471428571428,-40.0,"(-48, -16]",Fall
4221.124615384615,-39.0,"(-48, -16]",Winter
-1368.149468722784,-39.0,"(-48, -16]",Fall
2370.6133333333332,-39.0,"(-48, -16]",Fall
1454.4261352055667,-39.0,"(-48, -16]",Summer
-3911.4193411088704,-39.0,"(-48, -16]",Fall
-660.1503496503501,-39.0,"(-48, -16]",Spring
2084.342857142857,-39.0,"(-48, -16]",Summer
-592.2862745098041,-39.0,"(-48, -16]",Winter
2472.2446153846163,-39.0,"(-48, -16]",Winter
-2356.733333333333,-39.0,"(-48, -16]",Fall
-472.12999999999914,-39.0,"(-48, -16]",Fall
311.7820512820517,-39.0,"(-48, -16]",Spring
-1576.50700280112,-39.0,"(-48, -16]",Spring
-1267.9473684210525,-39.0,"(-48, -16]",Fall
-6885.8725,-39.0,"(-48, -16]",Fall
